Fer2_4	antismash
GATase_7	antismash
adh_short_C2	antismash
DUF4135	antismash
SIS_2	antismash
Ketoacyl-synt_2	antismash
Lant_dehydr_C	antismash
PP-binding_2	antismash
CDPS	antismash
HopA1	antismash
GFO_IDH_MocA_C3	antismash
pgm1	antismash
pgm_amidino	antismash
phosphonates	antismash
phosphonatesHydrolase	antismash
phosphonates-like	antismash
phosphonatesMeIsocitrateLyase	antismash
phytoene_synt	antismash
phzB	antismash
PKS_AT	antismash
PKS_KS	antismash
pop	antismash
PoyD	antismash
PP-binding	antismash
PpyS	antismash
prnB	antismash
PT_FPPS_like	antismash
PT_HPP	antismash
PTHR43273	antismash
PT_phytoene_like	antismash
PUFA_KS	antismash
pur10	antismash
pur6	antismash
PvdO	antismash
PvdP	antismash
QueE	antismash
RCDPS	antismash
Lanthipeptide_LanB_RRE	antismash
Stand_Alone_Lasso_RRE	antismash
Lasso_Fused_RRE	antismash
Thiopeptide_F_RRE	antismash
PqqD_RRE	antismash
Cyanobactin_D_RRE	antismash
Bottromycin_Methyltransferase_RRE	antismash
Proteusin_Methyltransferase_RRE	antismash
Proteusin_Epimerase_RRE	antismash
Heterocycloanthracin_C_RRE	antismash
Plantazolicin_C_RRE	antismash
Goadsporin_CD_RRE	antismash
Cytolysin_C_RRE	antismash
NHLP_CD_RRE	antismash
Mycofactocin_RRE	antismash
Pantocin_Microcin_RRE	antismash
Subtilosin_rSAM_RRE	antismash
Thurincin_rSAM_RRE	antismash
Thuricin_rSAM_RRE	antismash
Other_Sactipeptide_rSAM_RRE	antismash
Streptide_RRE	antismash
Quinohemoprotein_rSAM_RRE	antismash
Ranthipeptide_rSAM_RRE	antismash
Trifolitoxin_RRE	antismash
Thiaglutamate_G_RRE	antismash
Thiaglutamate_I_RRE	antismash
Thiaglutamate_B_RRE	antismash
PlpY_RRE	antismash
salQ	antismash
SalSyn	antismash
SBH_Asp	antismash
skfc	antismash
SpcDK_cou	antismash
SpcDK_glyc	antismash
SpcFG	antismash
strepbact	antismash
strep_PEQAXS	antismash
strH	antismash
strK1	antismash
strK2	antismash
sublancin	antismash
Subtilosin_A	antismash
subtilosin	antismash
T1TS	antismash
T1TS_KS	antismash
t2clf	antismash
t2fas	antismash
t2pks2	antismash
t2ks	antismash
T2TS	antismash
tabtoxin	antismash
TBH_Asp	antismash
thio_amide	antismash
thiostrepton	antismash
thuricin	antismash
TIGR01193	antismash
TIGR01408	antismash
TIGR01716	antismash
TIGR02111	antismash
TIGR02278	antismash
TIGR02353	antismash
TIGR03103	antismash
TIGR03104	antismash
TIGR03106	antismash
alpha_am_amid	antismash
Lycopene_cycl_fung	antismash
TIGR03601	antismash
TIGR03602	antismash
TIGR03603	antismash
TIGR03604	antismash
TIGR03605	antismash
TIGR03651	antismash
TIGR03678	antismash
TIGR03693	antismash
TIGR03731	antismash
TIGR03793	antismash
TIGR03795	antismash
TIGR03798	antismash
TIGR03882	antismash
TIGR03966	antismash
TIGR03973	antismash
TIGR03975	antismash
TIGR04078	antismash
rSAM_pep_methan	antismash
TIGR04085	antismash
TIGR04103	antismash
methano_modCys	antismash
TIGR04223	antismash
rSAM_GlyRichRpt	antismash
SAM_SPASM_FxsB	antismash
LD_lanti_pre	antismash
TIGR04404	antismash
TIGR04424	antismash
rSAM_XyeB	antismash
TP_methylase	antismash
TPP_enzyme_C	antismash
TPP_enzyme_N	antismash
tra_KS	antismash
truD	antismash
TS_Pyr4	antismash
TS_UbiA	antismash
TunD	antismash
ubiA	antismash
ustH	antismash
ValA	antismash
VbsL	antismash
VibH_like	antismash
vlmB	antismash
YcaO	antismash
yydH	antismash
btad_sarp	igem
hth_sarp	igem
stand_sarp	igem
tpr_sarp	igem
2og_oxygenase_bgc	igem
acetyltransf_bgc	igem
acp_synt	igem
acyl_transferase_bgc	igem
amino_oxidase_bgc	igem
aminotran_bgc	igem
atp_grasp_bgc	igem
luciferase_bgc	igem
cupin_bgc	igem
dao_bgc	igem
epimerase_bgc	igem
esterase_bgc	igem
hydrolase_bgc	igem
isochorismatase_bgc	igem
ketoacyl_synt_pks	igem
kr_bgc	igem
lant_synt	igem
lys_orn_oxigenase	igem
mbth_bgc	igem
methyltransferase_bgc	igem
nitroreductase_bgc	igem
amp_binding_nrps	igem
condensation_nrps	igem
pp-binding_nrps	igem
thioesterase_nrps	igem
p450_bgc	igem
palp_bgc	igem
pkinase_bgc	igem
pksdh_bgc	igem
pyr_redox_bgc	igem
taud_bgc	igem
thioredoxin_bgc	igem
ws_gat_bgc	igem
ycao_bgc	igem
StrR_like	antismash
DA_cyclase	antismash
Sulfotransfer_1	antismash
Sulfotransfer_2	antismash
Sulfotransfer_3	antismash
Sulfotransfer_4	antismash
Sulfotransfer_5	antismash
Peptidase_M16	antismash
AesB	antismash
PT_FPPS_like	antismash
ThiF	antismash
FbnM	antismash
novJ	antismash
Stand_Alone_Lasso_RRE	antismash
2-Hacid_dh_C	antismash
TIGR03975	antismash
LPG_synthase_C	antismash
Acyl-CoA_dh_1	antismash
PoyD	antismash
moeGT	antismash
MetRS-like	antismash
Abhydrolase_6	antismash
TIGR01193	antismash
Neocarzinostat	antismash
hglE	antismash
pop	antismash
Amidohydro_1	antismash
mvnA	antismash
ADH_N	antismash
Aminotran_1_2	antismash
LeupA	antismash
PKS_AT	antismash
LipU	antismash
Capsule_synth	antismash
SPASM	antismash
truD	antismash
leader_d	antismash
BacteriocIIc_cy	antismash
phytoene_synt	antismash
NTP_transf_5	antismash
t2ks	antismash
atropopeptide_p450	antismash
DUF1205	antismash
SCIFF	antismash
Glyco_transf_9	antismash
Glyco_transf_28	antismash
PP-binding_2	antismash
LmbU	antismash
p450	antismash
T1TS	antismash
AurF	antismash
DOIS	antismash
Pkinase	antismash
t2fas	antismash
Bacteriocin_IIi	antismash
TS_UbiA	antismash
Dala_Dala_lig_C	antismash
PhyH	antismash
PALP	antismash
IPL	antismash
Flavoprotein	antismash
ustH	antismash
PCMT	antismash
Pyr_redox_2	antismash
Thiaglutamate_G_RRE	antismash
CntM	antismash
RimK	antismash
leader_eh	antismash
Other_Sactipeptide_rSAM_RRE	antismash
TfuA	antismash
Bacteriocin_II	antismash
CyanoBH_Asp1	antismash
fabH	antismash
sublancin	antismash
GrbE	antismash
APH	antismash
Chal_sti_synt_C	antismash
orf2_PTase	antismash
ATd	antismash
DUF4992	antismash
CAS	antismash
Abi	antismash
ft1fas	antismash
IPPT	antismash
Thiaglutamate_B_RRE	antismash
azdO	antismash
cypemycin	antismash
micKC	antismash
Wzy_C	antismash
HopA1	antismash
PF00881	antismash
GST_C	antismash
dTDP_sugar_isom	antismash
her7	antismash
Peptidase_S9	antismash
SalSyn	antismash
Cytolysin_C_RRE	antismash
DIT1_PvcA	antismash
DUF692	antismash
DUF3328	antismash
Mac	antismash
subtilosin	antismash
Aminotran_3	antismash
indole_PTase	antismash
mature_a	antismash
CBM_48	antismash
bTGT	antismash
Alpha-amylase_C	antismash
TIGR03601	antismash
CTP_transf_like	antismash
PF13471	antismash
Antimicr18	antismash
Goadsporin_CD_RRE	antismash
bacilysin	antismash
IBH_His	antismash
PF04055	antismash
TBH_Asp	antismash
Glycos_transf_2	antismash
mvd	antismash
Chor_lyase	antismash
thio_amide	antismash
EntC	antismash
Metallophos_2	antismash
mature_d	antismash
Lycopene_cycl_fung	antismash
Transferase	antismash
Aminotran_5	antismash
LD_lanti_pre	antismash
salQ	antismash
Polysacc_synt	antismash
NTP_transf_3	antismash
TIGR03651	antismash
ubiA	antismash
BLS	antismash
QueC	antismash
GATase_7	antismash
PEP_mutase	antismash
DegT_DnrJ_EryC1	antismash
AgrB	antismash
methano_modCys	antismash
TIGR01408	antismash
AvrD	antismash
Peptidase_S8	antismash
PpyS	antismash
L_biotic_A	antismash
Thiopeptide_F_RRE	antismash
TIGR03973	antismash
Dala_Dala_lig_N	antismash
hglD	antismash
bcpB	antismash
APE_KS1	antismash
TIGR01716	antismash
AesC	antismash
FbnL	antismash
novK	antismash
TIGR03798	antismash
Lasso_Fused_RRE	antismash
hyb_KS	antismash
yydH	antismash
PF05402	antismash
PP-binding	antismash
dpdA1	antismash
hr-t2pks-ksa	antismash
frbD	antismash
mature_h_beta	antismash
IucA_IucC	antismash
Plantazolicin_C_RRE	antismash
Orn_DAP_Arg_deC	antismash
TPP_enzyme_N	antismash
NHLP_CD_RRE	antismash
Polysacc_synt_2	antismash
NpaA	antismash
Peptidase_C39	antismash
TIGR02111	antismash
Thioesterase	antismash
MannoseP_isomer	antismash
TIGR03103	antismash
her6	antismash
Asn_synthase	antismash
TIGR03104	antismash
cypI	antismash
T1TS_KS	antismash
MbnC	antismash
strH	antismash
Antimicrobial17	antismash
strK1	antismash
RmlD_sub_bind	antismash
strepbact	antismash
dmat	antismash
Alpha-amylase	antismash
leader_abc	antismash
TP_methylase	antismash
PlpY_RRE	antismash
thuricin	antismash
Lactococcin_972	antismash
GrbD	antismash
VibH_like	antismash
TIGR04404	antismash
Glyco_transf_8C	antismash
Lant_dehydr_C	antismash
Thuricin_rSAM_RRE	antismash
PvdP	antismash
Poly_export	antismash
DHQ_synthase	antismash
TIGR04223	antismash
phosphonatesHydrolase	antismash
adh_short_C2	antismash
phosphonatesMeIsocitrateLyase	antismash
nikO	antismash
SBH_Asp	antismash
T2TS	antismash
mod_KS	antismash
DarB	antismash
Thiaglutamate_I_RRE	antismash
CntL	antismash
TIGR02353	antismash
TIGR03604	antismash
lacticin_mat	antismash
Mycofactocin_RRE	antismash
AMP-binding	antismash
LcnG-beta	antismash
TIGR03678	antismash
AfsA	antismash
goadsporin_like	antismash
PvdO	antismash
TIGR03966	antismash
SAM_SPASM_FxsB	antismash
TIGR03603	antismash
mature_ha	antismash
rSAM_XyeB	antismash
Heterocycloanthracin_C_RRE	antismash
mature_b	antismash
YcaO	antismash
PF06968	antismash
TIGR04085	antismash
Gallidermin	antismash
Antimicrobial14	antismash
TPP_enzyme_C	antismash
melC	antismash
NpaB	antismash
phosphonates-like	antismash
Subtilosin_rSAM_RRE	antismash
her5	antismash
Lant_dehydr_N	antismash
tabtoxin	antismash
strep_PEQAXS	antismash
Aldedh	antismash
Ketoacyl-synt_2	antismash
mcjC	antismash
strK2	antismash
Lys_monoox	antismash
Fer2_4	antismash
HMGL-like	antismash
Peptidase_S28	antismash
Condensation	antismash
mmyO	antismash
Ranthipeptide_rSAM_RRE	antismash
GTP_cyclohydroI	antismash
Peptidase_S41	antismash
Quinohemoprotein_rSAM_RRE	antismash
PF07366	antismash
Glycos_transf_1	antismash
SpcDK_glyc	antismash
PT_phytoene_like	antismash
mitE	antismash
ksIII	antismash
MoeO5	antismash
4HBT_2	antismash
thiostrepton	antismash
Methyltransf_3	antismash
botH	antismash
Fer4_12	antismash
DUF98	antismash
PUFA_KS	antismash
tra_KS	antismash
TauD	antismash
Proteusin_Methyltransferase_RRE	antismash
GST_N_3	antismash
LeupC	antismash
NeoL	antismash
TIGR04424	antismash
QueE	antismash
MGT	antismash
ectoine_synt	antismash
LeupD	antismash
mature_ab	antismash
TIGR03795	antismash
Carbam_trans_N	antismash
APE_KS2	antismash
TIGR03882	antismash
GFO_IDH_MocA_C3	antismash
PTHR43273	antismash
NasY	antismash
novH	antismash
IBH_Asp	antismash
Acyl-CoA_dh_M	antismash
cyanobactin_synth	antismash
Cyanobactin_D_RRE	antismash
delta12_cd03507	antismash
KtzT	antismash
Lysine_decarbox	antismash
adh_short	antismash
TIGR03731	antismash
skfc	antismash
HAD_2	antismash
GFO_IDH_MocA	antismash
Streptide_RRE	antismash
prnB	antismash
itr_KS	antismash
micJ25	antismash
Chal_sti_synt_N	antismash
pur6	antismash
nikJ	antismash
Peptidase_M42	antismash
Orn_Arg_deC_N	antismash
Trifolitoxin_RRE	antismash
Bac_transf	antismash
Cloacin	antismash
delta9_cd03505	antismash
CyanoBH_Asp2	antismash
Lycopene_cycl	antismash
TIGR03693	antismash
Fer2_BFD	antismash
Trp_halogenase	antismash
lacticin_l	antismash
rSAM_GlyRichRpt	antismash
NpaC	antismash
Thurincin_rSAM_RRE	antismash
Linocin_M18	antismash
Fe-ADH	antismash
rSAM_pep_methan	antismash
her4	antismash
TIGR02278	antismash
indsynth	antismash
TIGR03106	antismash
FAAL_cd05931	antismash
pgm_amidino	antismash
phosphonates	antismash
DAO	antismash
pgm1	antismash
alpha_am_amid	antismash
TIGR04103	antismash
LANC_like	antismash
pur10	antismash
SpcDK_cou	antismash
FMO-like	antismash
vlmB	antismash
TIGR03602	antismash
Proteusin_Epimerase_RRE	antismash
phzB	antismash
PT_HPP	antismash
TIGR03605	antismash
Peptidase_M16_C	antismash
Pantocin_Microcin_RRE	antismash
RCDPS	antismash
Subtilosin_A	antismash
A-OX	antismash
ATP-grasp	antismash
PIG-L	antismash
SIS_2	antismash
PqqD_RRE	antismash
PKS_KS	antismash
ValA	antismash
ADH_zinc_N	antismash
glycocin	antismash
PPDK_N	antismash
AesA	antismash
ATP-grasp_3	antismash
PF00561	antismash
Lactococcin	antismash
Autoind_synth	antismash
novI	antismash
Lanthipeptide_LanB_RRE	antismash
Acyl-CoA_dh_N	antismash
Cy_tandem	antismash
LipV	antismash
ene_KS	antismash
Glyco_transf_8	antismash
FabF	antismash
DXP_synthase_N	antismash
SpcFG	antismash
TIGR03793	antismash
Bottromycin_Methyltransferase_RRE	antismash
ketoacyl-synt	antismash
LeupB	antismash
Glycos_transf_4	antismash
Bacteriocin_IIc	antismash
ADSI-DH	antismash
Peptidase_M50	antismash
CaiA	antismash
Orn_monoox	antismash
CDPS_fung	antismash
NAD_binding_4	antismash
bt1fas	antismash
Epimerase_2	antismash
2OG-FeII_Oxy	antismash
PTPS	antismash
lasso	antismash
Bacteriocin_IId	antismash
TunD	antismash
TS_Pyr4	antismash
LipM	antismash
Glyco_tran_28_C	antismash
CDPS	antismash
t2pks2	antismash
t2clf	antismash
azdH	antismash
VbsL	antismash
DUF4135	antismash
TIGR04078	antismash
EntA	antismash
PKS_Docking_Cterm	antismash
Condensation_DCL	antismash
Condensation_LCL	antismash
